Violation,Fine_Amount,Max_Fine,License_Confiscation,Impound,Jail,Description
Reckless Driving,2000,10000,True,False,False,"Driving a motor vehicle without reasonable caution. 3rd offense max fine."
No Helmet,1500,10000,False,False,False,"Driving or riding a motorcycle without a standard protective helmet."
Beating the Red Light,1000,1000,False,False,False,"Failure to stop at a red light."
Driving Without License,3000,3000,True,False,False,"Driving without a valid driver's license."
Illegal Parking,1000,2000,False,False,False,"Parking in restricted areas."
Number Coding,300,500,False,False,False,"Violating the Unified Vehicular Volume Reduction Program (UVVRP)."
Illegal Counterflow,2000,2000,True,False,False,"Driving against the flow of traffic."
Anti-Distracted Driving (Using Phone),5000,15000,True,False,False,"Using a mobile communications device. License confiscated on 3rd offense."
Driving Under the Influence (DUI),20000,50000,True,True,True,"Driving under the influence of alcohol or drugs. Mandatory jail time and vehicle impoundment."
Unregistered Motor Vehicle,10000,10000,True,True,False,"Driving a motor vehicle not registered with LTO. Vehicle is impounded."
No Seatbelt,1000,5000,False,False,False,"Failure of the driver or front passenger to wear a seatbelt. 3rd offense suspension."
Defective Accessories,5000,5000,False,False,False,"Operating a vehicle with defective headlights, taillights, blinkers, or mirrors."
Unauthorized Modification,5000,5000,True,True,False,"Unauthorized modification of engine or chassis. Vehicle impounded."
Overloading,1000,1000,False,False,False,"Loading passengers or freight beyond registered carrying capacity."
Failure to Carry OR/CR,1000,1000,False,False,False,"Failure to present OR/CR when requested."
Arrogance or Discourteous Conduct,500,500,False,False,False,"Disrespectful behavior towards a traffic law enforcer."
Illegal U-Turn,500,500,False,False,False,"Making a U-Turn in an area where it is expressly prohibited."
Failure to Yield Right of Way,1000,1000,False,False,False,"Failing to give way to pedestrians or other vehicles with priority."
Smoke Belching,2000,6000,False,False,False,"Operating a vehicle exceeding standard emission limits."
Motorcycle Shoe Violation,500,1000,False,False,False,"Driving a motorcycle while wearing slippers or being barefoot."
